29 Jun 2017 4:36pm    Page 1
Life Pharmacy Howick Village

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 90 days; Not purchased for 120 days; Hospital meds: Include;
Total Value: $2325.36

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
225665 ,ACUPAN 30mg Tablets,,90, VALT,,60,   ____,25.74,17.16
793868 ,ALANASE 50mcg/dose Nasal Spray,,200, MYLN,,7P,   ____,5.79,40.53
2350173 ,ANISE Home Essentials Oil,,25, APIC,,2P,   ____,7.39,14.78
524492 ,ANTABUSE 200mg Tablets,,100, CSLN,,60,   ____,48.73,29.24
2383993 ,APO-ALLOPURINOL 100mg Tablets,,1000, APOT,,175,   ____,16.62,2.91
304247 ,APO-NICOTINIC ACID 50mg Tablets,,100, APOT,,1P,   ____,4.36,4.36
2437155 ,APO-PERINDOPRIL 4mg Tablets,,30, APOT,,3P,   ____,5.28,15.84
2049015 ,APO-PRIMIDONE 250mg Tablets,,100, APOT,,59,   ____,18.98,11.20
2443082 ,APO-ROPINIROLE 1mg Tablets,,100, APOT,,20,   ____,5.50,1.10
306843 ,ARAVA 10mg Tablets,,30, SANS,,25,   ____,60.50,50.42
250066 ,ARISTOCORT 0.02% Cream,,100, ASPN,,2P,   ____,6.93,13.86
2154323 ,ASTHALIN 5mg/2.5ml Cipules,,20, REXM,,30,   ____,3.62,5.43
2340410 ,AVANZA 30mg Tablets,,30, SCHG,,4,   ____,9.69,1.29
2354837 ,BD 12.7mm 29G MF Pen,,100, EBOS,,1P,   ____,11.55,11.55
2224224 ,BD SYRINGE 1mlUFII31Gx8mm Needles,,100, EBOS,,30,   ____,14.30,4.29
2224216 ,BD SYRINGE 0.3mlUFII31Gx8mm Needles,,100, EBOS,,10,   ____,14.30,1.43
2224208 ,BD SYRINGE 0.5mlUFII31Gx8mm Needles,,100, EBOS,,40,   ____,14.30,5.72
2326159 ,BECLAZONE 50mcg CFC free Inhaler,,200, AIRF,,2P,   ____,9.39,18.78
2326175 ,BECLAZONE 250mcg CFC free Inhaler,,200, AIRF,,1P,   ____,24.94,24.94
209759 ,BETNOVATE-C  Cream,SM,15, GLSK,,1P,   ____,5.39,5.39
474223 ,BEZALIP 200mg Tablets,,90, ROPR,,1P,   ____,9.96,9.96
2387743 ,BICALACCORD 50mg Tablets,,28, ACTA,,51,   ____,5.39,9.82
412341 ,BIODONE FORTE 5mg/ml Liquid,,200, BIOM,,140,   ____,5.50,3.85
2403145 ,CARESENS N POP 10strips+50lanc Meter Kit,,1, PHAC,,2P,   ____,22.00,44.00
2332817 ,CEFALEXIN SANDOZ 125mg/5ml Susp.,,100, NOVA,,3P,   ____,8.80,26.40
2105012 ,CIPFLOX 750mg Tablets,,28, MYLN,,21,   ____,4.12,3.09
417009 ,CLEXANE 80mg/0.8ml Syringe,,10, SANS,,15,   ____,91.17,136.76
371122 ,CLIMARA 100 100mcg/24hours Patches,DS,4, SCHE,,2,   ____,17.75,8.88
206776 ,CODEINE PHOSPHATE 60mg Tablets,,100, PSM,,386,   ____,14.85,57.32
2273144 ,DE WORM 100mg Tablets,,24, MULT,,19,   ____,26.61,21.07
2309718 ,DEPRIM 240mg/5ml Suspension,,100, AFTP,,1P,   ____,2.37,2.37
772887 ,DHC CONTINUS 60mg LA Tablets,,60, PHAC,,109,   ____,10.50,19.08
2164795 ,DIAMOX 250mg Tablets,,100, ASPN,,21,   ____,18.73,3.93
538825 ,DIFFLAM 0.15% Solution,,500, VALT,,1P,   ____,18.71,18.71
388513 ,DILATREND 25mg Tablets,,30, ROPR,,2P,   ____,3.47,6.94
210870 ,DIPROSONE 0.05% Cream,FM,50, SCHG,,1P,   ____,9.87,9.87
2349159 ,DONEPEZIL REX 5mg Tablets,,90, REXM,,75,   ____,6.03,5.02
619779 ,DP  Lotion,,250, DOUG,,2P,   ____,4.98,9.96
2434237 ,DUOLEUM WSP BP Ointment,,400, ROBP,,1P,   ____,12.14,12.14
2171864 ,ENERLYTE 4.9g Sachets,,10, MULT,,4P,   ____,7.69,30.76
205273 ,ERA 250mg Tablets,SM,100, ABBO,,16,   ____,24.52,3.92
258601 ,ESTROFEM 1mg Tablets,,28, NOVO,,2P,   ____,12.21,24.42
264318 ,ETHINYLOESTRADIOL 10mcg PABYRN Tablets,SM,100, NEWM,,20,   ____,19.36,3.87
2341034 ,FATTY HEALTHE Tube Fatty Cream,,100, JAYC,,2P,   ____,1.76,3.52
2351951 ,FENTANYL MYLAN 75mcg Patches,,5, MYLN,,1,   ____,14.96,2.99
2472880 ,FENTANYL SANDOZ 25mcg Patches,,5, NOVA,,1P,   ____,4.03,4.03
2190958 ,FERRO GRAD FOLIC LA 325mg+350mcg Tablets,,30, ABBO,,4P,   ____,4.72,18.88
