4 Jul 2017 10:56am    Page 1
Life Pharmacy NorthWest

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 180 days; Hospital meds: Include;
Total Value: $3551.46

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2022923 ,ACCURETIC 10 10mg+12.5mg Tablets,,30, PFIZ,,3P,   ____,4.02,12.06
797138 ,ACTRAPID 100iu/ml 3ml Penfill,,5, NOVO,,1,   ____,46.94,9.39
307904 ,ACULAR 0.5% Eye drops,,5, ALLP,,2P,   ____,10.49,20.98
534196 ,ADRENALINE 1:10 000 10ml Amps,,5, HOSP,,2P,   ____,29.70,59.40
2309823 ,ADRENALINE ASPEN 1:1000 1ml Amps,,5, ASPN,,3P,   ____,5.48,16.44
200190 ,ALBUSTIX  Strips,,100, SMEN,,2P,   ____,15.31,30.62
2316870 ,APIDRA SOLOSTAR 100iu/ml 3ml Pen,,5, SANS,,3,   ____,50.68,30.41
2511851 ,APO-LEFLUNOMIDE 20mg Tablets,,30, APOT,,4P,   ____,3.19,12.76
2499746 ,APO-METOPROLOL 50mg Tablets,,100, APOT,,16,   ____,5.10,0.82
2486164 ,APO-MIRTAZAPINE 30mg Tablets,,30, APOT,,75,   ____,2.81,7.02
2119498 ,ARIMIDEX 1mg Tablets,,30, ASZE,,66,   ____,29.20,64.24
241113 ,ASACOL 400mg Tablets,,100, BAXH,,120,   ____,54.45,65.34
200905 ,ATROPT 1% Eye drops,,15, ASPN,,1P,   ____,19.10,19.10
2026945 ,BETALOC 23.75mg CR Tablets,,30, ASZE,,19,   ____,1.13,0.72
2392860 ,BOSVATE 10mg Tablets,,30, DOUG,,1P,   ____,7.04,7.04
206105 ,CAFERGOT  Tablets,,100, AFTP,,46,   ____,34.10,15.69
2511215 ,CALSOURCE 1.75g Eff (1g Ca) Tablets,,10, NOVA,,1P,   ____,2.28,2.28
2515164 ,CARESENS 30G Lancets,,100, PHAC,,2P,   ____,6.60,13.20
2115786 ,CELAPRAM 20mg Tablets,,28, MYLN,,1P,   ____,4.91,4.91
380857 ,CELEBREX 100mg Capsules,,60, PFIZ,,58,   ____,22.08,21.34
2498871 ,CEPHALEXIN ABM 250mg Capsules,,20, ABM,,23,   ____,3.85,4.43
2373297 ,CHLORHEXIDINE AQ HEALTHE 4% Red Wash,,500, JAYC,,2P,   ____,4.38,8.76
2318679 ,CHLORHEXIDINE HEALTHE 1% with 70% Eth Hand Rub,,500, JAYC,,1P,   ____,4.72,4.72
2048841 ,CILICAINE VK 250 250mg Capsules,,50, PROP,,1P,   ____,3.17,3.17
433691 ,CIPROXIN HC 12mg/ml Ear drops,,10, ALCO,,1P,   ____,18.90,18.90
417017 ,CLEXANE 100mg/ml Syringe,,10, SANS,,5,   ____,114.18,57.09
371122 ,CLIMARA 100 100mcg/24hours Patches,,4, SCHE,,1P,   ____,17.75,17.75
2262177 ,CLINDATECH 1% w/v 50ml Solution,,50, VALT,,1P,   ____,7.98,7.98
2473119 ,CLOBETASOL BNM 0.05% Cream,,30, BNMG,,1P,   ____,3.52,3.52
648450 ,COLESTID 5g Sachets,,30, PFIZ,,1P,   ____,24.20,24.20
462829 ,COLIFOAM 10% Rectal Foam,,21.1, MYLN,,2P,   ____,29.21,58.42
2392070 ,DAIVOBET 50+500mcg Gel,,30, CSLN,,2P,   ____,28.73,57.46
2273144 ,DE WORM 100mg Tablets,,24, MULT,,17,   ____,26.61,18.85
271691 ,DEPO-PROVERA 150mg/ml 1mlPFS Syringe,,1, PHAU,,1P,   ____,7.97,7.97
2164795 ,DIAMOX 250mg Tablets,,100, ASPN,,69,   ____,18.73,12.92
2471140 ,DICARZ 25mg Tablets,,60, MYLN,,3P,   ____,6.93,20.79
523836 ,DILZEM 60mg Tablets,,100, DOUG,,160,   ____,9.35,14.96
2063158 ,DIPROSONE OV 0.05% Cream,,30, SCHG,,1P,   ____,4.76,4.76
2490072 ,E-CHAMBER TURBO 220ml Device,,1, ,,1P,   ____,3.24,3.24
218383 ,ELOCON 0.1% Ointment,,15, MERC,,3P,   ____,1.66,4.98
2272547 ,ENTOCORT 3mg CIR Capsules,,90, ASZE,,1P,   ____,183.15,183.15
539724 ,EPILIM 100mg Tablets,,100, SANS,,98,   ____,15.02,14.72
205273 ,ERA 250mg Tablets,,100, ABBO,,92,   ____,24.52,22.56
327859 ,ESTROFEM 2mg Tablets,,28, NOVO,,3P,   ____,12.21,36.63
2350076 ,EUCALYPTUS Home Essentials Oil,,50, APIC,,45,   ____,6.02,5.42
2479532 ,EVERET 250mg Tablets,,60, REXM,,49,   ____,26.43,21.58
2190958 ,FERRO GRAD FOLIC LA 325mg+350mcg Tablets,,30, ABBO,,3P,   ____,4.72,14.16
204951 ,FLORINEF 0.1mg Tablets,,100, HCLO,,83,   ____,15.75,13.07
2431432 ,FLUCLOXACILLIN 250mg/5ml SF Liquid,,100, AFTP,,1P,   ____,3.39,3.39
2022133 ,FOSAMAX 70mg Tablets,,4, ACTA,,3P,   ____,14.19,42.57
538620 ,FRISIUM 10mg Tablets,,50, SANS,,70,   ____,10.03,14.04
629839 ,FUCICORT  Cream,,15, CSLN,,1P,   ____,11.49,11.49
201960 ,FUNGILIN 10mg Lozenges,,20, HCLO,,4P,   ____,6.45,25.80
2482738 ,GACET 250mg Supp.,,10, AFTP,,2P,   ____,4.17,8.34
2501619 ,GASTRODENOL 120mg Tablets,,50, LINK,,44,   ____,15.96,14.04
778338 ,GLYCEROL 3.6g Supp.,,20, PSM,,2P,   ____,7.15,14.30
4 Jul 2017 10:56am    Page 2
Life Pharmacy NorthWest

Stock take and valuation report (excluding GST)

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2381389 ,HABITROL 7mg/24hr Patches,,28, NOCH,,1P,   ____,11.63,11.63
2235854 ,HUMALOG MIX 50 100iu/ml 3ml Cartr.,,5, ELIL,,1P,   ____,46.93,46.93
205621 ,HYDROCORTISONE 5mg Tablets,,100, DOUG,,169,   ____,8.91,15.06
205648 ,HYDROCORTISONE 20mg Tablets,,100, DOUG,,1P,   ____,22.35,22.35
2375338 ,INDOMETHACIN 25mg Capsules,,28, ACTA,,6P,   ____,9.02,54.12
2447355 ,ISMO 40 40mg RETARD Tablets,,30, PROP,,1P,   ____,8.25,8.25
2326647 ,ISOPROPYL ALCOHOL HEALTHE 70% non sterile Liquid,,500, JAYC,,1P,   ____,6.21,6.21
2123495 ,ISOTANE 20 20mg Capsules,,100, MYLN,,10,   ____,21.20,2.12
2432129 ,KARICARE APTAMIL Food thickener Powder,,380, NUAU,,1P,   ____,7.98,7.98
253766 ,KENACORT-A40 40mg/ml Amps,,5, HCLO,,6,   ____,56.21,67.45
417866 ,LAMICTAL 25mg Disp Tablets,,56, GLSK,,82,   ____,31.99,46.84
2378078 ,LANOXIN 250mcg Tablets,,240, ASPN,,1P,   ____,15.97,15.97
2377012 ,LANOXIN PG 62.5mcg Tablets,,240, ASPN,,1P,   ____,7.34,7.34
656453 ,LITHICARB FC 400mg Tablets,,100, MYLN,,2P,   ____,14.11,28.22
799882 ,LIVOSTIN 500mcg/ml Eye drops,,4, JANC,,1P,   ____,11.37,11.37
424544 ,LOMIDE 0.1% Eye drops,,10, ALCO,,2P,   ____,9.58,19.16
472735 ,LOSEC 10mg Capsules,,30, ASZE,,2P,   ____,7.44,14.88
479233 ,LYDERM 5% Cream,,30, PSM,,2P,   ____,4.62,9.24
2106485 ,M-ESLON 30mg SR Capsules,,10, MULT,,3P,   ____,2.75,8.25
210595 ,MAREVAN 3mg Tablets,,100, GLSK,,3P,   ____,10.67,32.01
2454203 ,MARINE BLUE SPF50+ Sunscreen,,200, ABM,,1P,   ____,5.61,5.61
681776 ,MEDROL 100mg Tablets,,20, PFIZ,,15,   ____,198.00,148.50
2331101 ,MELOREX 15mg Tablets,,30, DOUG,,2P,   ____,13.97,27.94
277479 ,MENTHOL  Crystals,,25, PSM,,15,   ____,7.15,4.29
765503 ,METHATABS 5mg Tablets,,10, PSM,,3P,   ____,2.03,6.09
697648 ,MICREME 2% Vag Cream,,40, MYLN,,1P,   ____,4.27,4.27
202827 ,MICROGYNON 50ED  Tablets,,84, SCHE,,140,   ____,10.40,17.33
2429128 ,MULTICHEM BOTTLES 40mm caps 90ml,,25, ,,3P,   ____,0.00,0.00
2429101 ,MULTICHEM BOTTLES 28mm caps 60ml,,25, ,,3P,   ____,0.00,0.00
2428989 ,MULTICHEM MISSIONS 24mm caps 200ml,,25, ,,3P,   ____,0.00,0.00
2429187 ,MULTICHEM VIALS with caps 20ml,,500, ,,1P,   ____,0.00,0.00
254908 ,NILSTAT Vag. Cream,,75, SIGM,,1P,   ____,4.89,4.89
2465922 ,ONBREZ 150mcg Breezhaler,,30, NOVA,,1P,   ____,67.10,67.10
359009 ,ORACORT 0.1% Adhesive Ointment,,5, AFTP,,1P,   ____,4.77,4.77
2388030 ,OZOLE 200mg Capsules,,28, DOUG,,23,   ____,10.66,8.76
2095491 ,PAXAM 2mg Tablets,,100, MYLN,,1P,   ____,15.81,15.81
2029219 ,PENICILLIN V 125mg/5ml Syrup,,100, AFTP,,2P,   ____,1.63,3.26
2432218 ,PENTASA 1g Supp.,,30, PHAC,,46,   ____,60.06,92.09
2257319 ,PEPTISOOTHE 150mg/10ml Syrup,,300, AFTP,,550,   ____,5.41,9.92
2165953 ,PEVARYL 1% Cream,,20, VALT,,1P,   ____,8.23,8.23
383872 ,PEVARYL 1% 10ml foam sachet,,3, VALT,,2P,   ____,18.95,37.90
439886 ,PHENOBARBITONE 30mg Tablets,,500, PSM,,40,   ____,34.10,2.73
2142279 ,PHOLCODINE AFT 5mg/5ml Linctus,,2000, AFTP,,1P,   ____,26.09,26.09
2316455 ,PIZACCORD 15mg Tablets,,28, DOUG,,4P,   ____,1.19,4.76
2316463 ,PIZACCORD 30mg Tablets,,28, DOUG,,4P,   ____,1.73,6.92
316687 ,POLARAMINE 2mg/5ml Syrup,,100, SCHG,,1P,   ____,11.32,11.32
2469499 ,PONSTAN 250mg Blis Capsules,,50, PFZC,,130,   ____,10.08,26.21
2388480 ,PREPKIT-C Lemon Pack,,1, FRES,,1P,   ____,18.60,18.60
601160 ,PRODOPA 250mg Tablets,,100, MYLN,,1P,   ____,16.61,16.61
2427877 ,QUINAPRIL ARROW 5mg Tablets,,90, ACTA,,2P,   ____,4.74,9.48
2472716 ,REANDRON 1000 1000mg/4ml Vial,,1, BAYN,,1P,   ____,94.60,94.60
2463121 ,REUTENOX 20mg Tablets,,20, ABM,,9P,   ____,2.41,21.69
2349329 ,RITALIN 10mg Tablets,,30, NOVA,,39,   ____,3.30,4.29
386693 ,ROZEX 0.75% Gel,,50, HCLO,,2P,   ____,35.79,71.58
2404516 ,SALAIR 100mcg CFC Fr Inhaler,,200, REXM,,8P,   ____,4.18,33.44
479489 ,SEREVENT 50mcg Accuhaler,,60, GLSK,,1P,   ____,27.50,27.50
242756 ,SEVREDOL 20mg Tablets,,10, DOUG,,6P,   ____,6.07,36.42
478504 ,SINGULAIR 5mg chew Tablets,,28, MERC,,1P,   ____,20.33,20.33
750352 ,SKILLETS Size1 ,,50, MULT,,3P,   ____,3.96,11.88
4 Jul 2017 10:56am    Page 3
Life Pharmacy NorthWest

Stock take and valuation report (excluding GST)

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
750360 ,SKILLETS Size2 ,,50, MULT,,4P,   ____,4.18,16.72
750379 ,SKILLETS Size3 ,,50, MULT,,2P,   ____,5.72,11.44
750409 ,SKILLETS Size6 ,,50, MULT,,1P,   ____,3.99,3.99
750417 ,SKILLETS Size7 ,,50, MULT,,3P,   ____,2.75,8.25
750425 ,SKILLETS Size8 ,,50, MULT,,1P,   ____,7.81,7.81
2320568 ,SODIUM CHLORIDE 0.9% 10ml Amps,,50, MULT,,98,   ____,12.65,24.79
691968 ,SODIUM CHLORIDE DW 0.9% 10ml Amps,,50, PFIZ,,1P,   ____,7.29,7.29
254894 ,SOFRAMYCIN 0.50% Drops,,8, SANS,,1P,   ____,9.51,9.51
2055163 ,SOLOX 15mg Capsules,,28, DOUG,,4,   ____,1.56,0.22
2494019 ,SPIRIVA RESPIMAT 2.5mcg Inhaler,,60, ,,2P,   ____,55.41,110.82
2381664 ,SUMATRIPTAN AUTOINJECTOR  Device,,1, ACTA,,1P,   ____,0.00,0.00
2493691 ,SUMATRIPTAN SUN 6mg/0.5ml Cartr.,,2, ACTA,,3P,   ____,46.94,140.82
2489295 ,SUSTAGEN HF Vanilla Powder,,840, NEST,,1P,   ____,16.39,16.39
2489309 ,SUSTAGEN HF Choc Powder,,840, NEST,,1P,   ____,16.39,16.39
2389460 ,SYNTHROID 100mcg Tablets,,90, ABBO,,1P,   ____,4.63,4.63
724882 ,TAMBOCOR 50mg Tablets,,60, VALT,,1P,   ____,42.84,42.84
234532 ,TAMBOCOR 100mg CR Capsules,,30, VALT,,2P,   ____,42.84,85.68
2438526 ,TAMSULOSIN 0.4mg Capsules,,100, REXM,,115,   ____,14.86,17.09
318094 ,TILADE 2mg CFC free Inhaler,,112, SANS,,1P,   ____,30.88,30.88
308390 ,TOBREX  Eye drops,,5, ALCO,,1P,   ____,12.63,12.63
2015269 ,TOFRANIL 10mg Tablets,,50, AFTP,,10,   ____,6.03,1.21
2360128 ,TRICLOSAN HEALTHE 1% Liquid Soap Handwash,,500, JAYC,,1P,   ____,6.49,6.49
305782 ,TRIETHANOLAMINE LS 40% Emulsion,,500, PSM,,25,   ____,26.40,1.32
2492784 ,UROFEM 1000mg Tablets,,50, TBIO,,3P,   ____,23.80,71.40
2377810 ,VEDAFIL 100mg Tablets,,12, MYLN,,8,   ____,8.80,5.87
2377802 ,VEDAFIL 100mg Tablets,,4, MYLN,,1P,   ____,3.02,3.02
2377780 ,VEDAFIL 50mg Tablets,,4, MYLN,,1P,   ____,0.83,0.83
2140543 ,VENTOLIN 2mg/5ml Elixir,,150, AFTP,,1P,   ____,2.27,2.27
2095467 ,VERPAMIL 120mg SR Tablets,,250, MYLN,,130,   ____,16.72,8.69
380075 ,VERPAMIL 240mg SR Tablets,,250, MYLN,,160,   ____,27.50,17.60
