3 Jul 2017 1:33pm    Page 1
Life Pharmacy Riccarton

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 365 days; Hospital meds: Include;
Total Value: $1068.41

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2173719 ,ACCU-CHEK MULTICLIX 17 drums Lancets,,102, RODI,,1P,   ____,15.24,15.24
2104962 ,ARCOXIA 120mg Tablets,,10, MERC,,11,   ____,20.76,22.84
2224224 ,BD SYRINGE 1mlUFII31Gx8mm Needles,inj,100, EBOS,,90,   ____,14.30,12.87
2392860 ,BOSVATE 10mg Tablets,,30, DOUG,,1P,   ____,7.04,7.04
510599 ,CATAPRES TTS 1 0.1mg Patches,patch,4, BOEH,,2P,   ____,14.08,28.16
2318679 ,CHLORHEXIDINE HEALTHE 1% with 70% Eth Hand Rub,ext,500, JAYC,,1P,   ____,4.72,4.72
286664 ,CHLOROFORM BP Liquid,ext,500, PSM,,250,   ____,28.05,14.02
397083 ,CORDARONE X 100mg Tablets,,30, SANS,,58,   ____,5.13,9.92
2212226 ,DAPSONE 25mg Tablets,,100, LINK,,82,   ____,104.50,85.69
2434679 ,DE NOL 120mg Tablets,,112, LINK,,56,   ____,35.75,17.88
240311 ,HISTAFEN 2mg/5ml Elixir,liq,500, DOUG,,225,   ____,8.87,3.99
253502 ,ISOPTIN 80mg Tablets,,100, PHAC,,50,   ____,12.91,6.46
2195852 ,LANCETS MEDISENSE Thin 28G ,,100, ABBO,,2P,   ____,15.28,30.56
2427257 ,LIDOCAINE-CLARIS 1% 5ml Amps,,25, MULT,,10,   ____,9.62,3.85
2236443 ,MEDICO Combo cold seal Foils,,100, DOUG,,1P,   ____,60.00,60.00
2266822 ,MEDICO LABELS Night/Blue ,,200, DOUG,,2P,   ____,12.81,25.62
765503 ,METHATABS 5mg Tablets,cd,10, PSM,,11,   ____,2.03,2.23
2452731 ,OXYCODONE BNM 80mg CR Tablets,cd,20, BNMG,,2P,   ____,37.40,74.80
2245167 ,TARCEVA 150mg Tablets,,30, ROPR,,15,   ____,1260.60,630.30
503649 ,TEGRETOL 100mg/5ml Syrup,liq,250, NOVA,,30,   ____,29.01,3.48
2260247 ,ZELDOX 80mg Capsules,,60, PFIZ,,12,   ____,43.71,8.74
