29 Jun 2017 1:03pm    Page 1
Life Pharmacy Takapuna

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 180 days; Hospital meds: Include;
Total Value: $2719.40

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2226960 ,ABILIFY 10mg Tablets,,30, BRIS,,1P,   ____,135.89,135.89
225665 ,ACUPAN 30mg Tablets,,90, VALT,,1P,   ____,25.74,25.74
2289822 ,APO-CLOMIPRAMINE 10mg Tablets,,100, APOT,,70,   ____,13.86,9.70
2499746 ,APO-METOPROLOL 50mg Tablets,,100, APOT,,4P,   ____,5.10,20.40
2443074 ,APO-ROPINIROLE 0.25mg Tablets,,100, APOT,,40,   ____,3.06,1.22
2519666 ,APO-SUMATRIPTAN 100mg Tablets,,102, APOT,,2P,   ____,50.85,101.70
770639 ,ARATAC 200mg Tablets,,30, MYLN,,36,   ____,33.57,40.28
319473 ,AUGMENTIN 125mg/5ml Syrup,,100, GLSK,,2P,   ____,4.21,8.42
2224208 ,BD SYRINGE 0.5mlUFII31Gx8mm Needles,,100, EBOS,,50,   ____,14.30,7.15
210110 ,BETNOVATE  Lotion,,50, GLSK,,1P,   ____,11.05,11.05
771473 ,BONJELA  Gel,,15, RECK,,1P,   ____,6.60,6.60
2255502 ,BRUFEN 600mg Tablets,,30, ABBO,,10,   ____,7.55,2.52
210323 ,BURINEX 1mg Tablets,,100, CSLN,,290,   ____,18.00,52.20
2095505 ,BUSPIRONE 10mg Tablets,,100, MYLN,,15,   ____,16.46,2.47
2095475 ,BUSPIRONE 5mg Tablets,,100, MYLN,,40,   ____,26.18,10.47
2403129 ,CARESENS II 10strips+50lanc Meter Kit,,1, PHAC,,1P,   ____,22.00,22.00
202274 ,CATAPRES 150mcg Tablets,,100, BOEH,,2P,   ____,37.75,75.50
2521164 ,CELECOXIB 100mg Capsules,,60, PFIZ,,2P,   ____,3.99,7.98
2498871 ,CEPHALEXIN ABM 250mg Capsules,,20, ABM,,2P,   ____,3.85,7.70
2341042 ,CETOMACROGOL HEALTHE 15% Cream,,100, JAYC,,3P,   ____,1.62,4.86
2311097 ,CIALIS 5mg Tablets,,28, ELIL,,1P,   ____,153.94,153.94
2048841 ,CILICAINE VK 250 250mg Capsules,,50, PROP,,30,   ____,3.17,1.90
417017 ,CLEXANE 100mg/ml Syringe,,10, SANS,,1,   ____,114.18,11.42
417009 ,CLEXANE 80mg/0.8ml Syringe,,10, SANS,,9,   ____,91.17,82.05
462829 ,COLIFOAM 10% Rectal Foam,,21.1, MYLN,,1P,   ____,29.21,29.21
282103 ,COLLODION FLEXIBLE  Liquid,,100, PSM,,85.3,   ____,21.23,18.11
2294524 ,CONCERTA 27mg Tablets,,30, JANC,,1P,   ____,71.98,71.98
2308436 ,CRESTOR 10mg Tablets,,30, ASZE,,15,   ____,23.65,11.82
2356406 ,DAPA TABS 2.5mg Tablets,,90, MYLN,,1P,   ____,2.86,2.86
712914 ,DAPSONE 100mg Tablets,,100, LINK,,1P,   ____,121.00,121.00
772755 ,DERMOL 0.05% Scalp Application,,30, MYLN,,3P,   ____,7.66,22.98
2198231 ,DESMOPRESSIN PH&T 10mcg/dose Nasal Spray,,6, AFTP,,1P,   ____,25.24,25.24
277878 ,DEXAMETHASONE 4mg Tablets,,100, DOUG,,35,   ____,6.74,2.36
10000611 ,DHEA 7 KETO 25mg capsule,,90, PCNZ,,1P,   ____,68.52,68.52
275824 ,DOSTINEX 0.5mg Tablets,,2, PHAU,,2P,   ____,5.23,10.46
2309440 ,DUREX EXTRA SAFE Non Sp. 56mm Latex Condom,,144, SSLN,,1P,   ____,14.69,14.69
2244098 ,EMEND TRI PACK  Capsules,,3, MERC,,1P,   ____,110.00,110.00
243078 ,EMYCIN 200mg/5ml Susp.,,100, MYLN,,1P,   ____,5.50,5.50
539724 ,EPILIM 100mg Tablets,,100, SANS,,165,   ____,15.02,24.78
258601 ,ESTROFEM 1mg Tablets,,28, NOVO,,3P,   ____,12.21,36.63
264318 ,ETHINYLOESTRADIOL 10mcg PABYRN Tablets,,100, NEWM,,30,   ____,19.36,5.81
2116960 ,EUCALYPTUS  Oil,,500, MIWE,,350,   ____,53.60,37.52
729426 ,FLAGYL-S 200mg/5ml Susp.,,100, SANS,,15,   ____,27.50,4.12
2343851 ,FLAMAZINE 1.0%w/w Cream,,50, SMIN,,1P,   ____,11.88,11.88
204951 ,FLORINEF 0.1mg Tablets,,100, HCLO,,69,   ____,15.75,10.87
2431424 ,FLUCLOXACILLIN 125mg/5ml SF Liquid,,100, AFTP,,1P,   ____,2.52,2.52
2207931 ,HUMULIN NPH 100iu/ml 3ml Cartr.,,5, ELIL,,1P,   ____,32.85,32.85
518913 ,HUMULIN-R 10ml Vial,,1, ELIL,,1P,   ____,27.79,27.79
2460149 ,HYDROXYBENZOATE Co Soln,,100, MIWE,,1P,   ____,33.00,33.00
2272636 ,IBIAMOX 1g Vials,,10, DOUG,,5,   ____,19.02,9.51
