23 Jun 2017 11:09am    Page 1
Life Pharmacy Takapuna

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 180 days; Not purchased for 180 days; Include hidden; Hospital meds: Include;
Total Value: $1757.42

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2226960 ,ABILIFY 10mg Tablets,,30, BRIS,,1P,   ____,135.89,135.89
225665 ,ACUPAN 30mg Tablets,,90, VALT,,1P,   ____,25.74,25.74
2289822 ,APO-CLOMIPRAMINE 10mg Tablets,,100, APOT,,70,   ____,13.86,9.70
2443074 ,APO-ROPINIROLE 0.25mg Tablets,,100, APOT,,40,   ____,3.06,1.22
770639 ,ARATAC 200mg Tablets,,30, MYLN,,36,   ____,33.57,40.28
319473 ,AUGMENTIN 125mg/5ml Syrup,,100, GLSK,,2P,   ____,4.21,8.42
2224208 ,BD SYRINGE 0.5mlUFII31Gx8mm Needles,,100, EBOS,,50,   ____,14.30,7.15
210110 ,BETNOVATE  Lotion,,50, GLSK,,1P,   ____,11.05,11.05
771473 ,BONJELA  Gel,,15, RECK,,1P,   ____,6.60,6.60
2255502 ,BRUFEN 600mg Tablets,,30, ABBO,,10,   ____,7.55,2.52
210323 ,BURINEX 1mg Tablets,,100, CSLN,,290,   ____,18.00,52.20
2095505 ,BUSPIRONE 10mg Tablets,,100, MYLN,,15,   ____,16.46,2.47
2095475 ,BUSPIRONE 5mg Tablets,,100, MYLN,,40,   ____,26.18,10.47
2403129 ,CARESENS II 10strips+50lanc Meter Kit,,1, PHAC,,1P,   ____,22.00,22.00
202274 ,CATAPRES 150mcg Tablets,,100, BOEH,,2P,   ____,37.75,75.50
2311097 ,CIALIS 5mg Tablets,,28, ELIL,,1P,   ____,153.94,153.94
2048841 ,CILICAINE VK 250 250mg Capsules,,50, PROP,,30,   ____,3.17,1.90
417017 ,CLEXANE 100mg/ml Syringe,,10, SANS,,1,   ____,114.18,11.42
417009 ,CLEXANE 80mg/0.8ml Syringe,,10, SANS,,9,   ____,91.17,82.05
462829 ,COLIFOAM 10% Rectal Foam,,21.1, MYLN,,1P,   ____,29.21,29.21
282103 ,COLLODION FLEXIBLE  Liquid,,100, PSM,,85.3,   ____,21.23,18.11
2294524 ,CONCERTA 27mg Tablets,,30, JANC,,1P,   ____,71.98,71.98
2308436 ,CRESTOR 10mg Tablets,,30, ASZE,,15,   ____,23.65,11.82
2356406 ,DAPA TABS 2.5mg Tablets,,90, MYLN,,1P,   ____,2.86,2.86
712914 ,DAPSONE 100mg Tablets,,100, LINK,,1P,   ____,121.00,121.00
772755 ,DERMOL 0.05% Scalp Application,,30, MYLN,,3P,   ____,7.66,22.98
277878 ,DEXAMETHASONE 4mg Tablets,,100, DOUG,,35,   ____,6.74,2.36
275824 ,DOSTINEX 0.5mg Tablets,,2, PHAU,,2P,   ____,5.23,10.46
2309440 ,DUREX EXTRA SAFE Non Sp. 56mm Latex Condom,,144, SSLN,,1P,   ____,14.69,14.69
2034239 ,ENDOXAN 50mg Tablets,,50, BAXH,,20,   ____,86.90,34.76
539724 ,EPILIM 100mg Tablets,,100, SANS,,165,   ____,15.02,24.78
258601 ,ESTROFEM 1mg Tablets,,28, NOVO,,3P,   ____,12.21,36.63
264318 ,ETHINYLOESTRADIOL 10mcg PABYRN Tablets,,100, NEWM,,30,   ____,19.36,5.81
2116960 ,EUCALYPTUS  Oil,,500, MIWE,,350,   ____,53.60,37.52
729426 ,FLAGYL-S 200mg/5ml Susp.,,100, SANS,,15,   ____,27.50,4.12
2343851 ,FLAMAZINE 1.0%w/w Cream,,50, SMIN,,1P,   ____,11.88,11.88
204951 ,FLORINEF 0.1mg Tablets,,100, HCLO,,69,   ____,15.75,10.87
2272636 ,IBIAMOX 1g Vials,,10, DOUG,,5,   ____,19.02,9.51
472735 ,LOSEC 10mg Capsules,,30, ASZE,,6P,   ____,7.44,44.64
2016370 ,MALARONE  Tablets,,12, GLSK,,2,   ____,70.66,11.78
2291630 ,MARQUIS 53mm Black Flared Condom,,144, MDSD,,132,   ____,14.70,13.48
719803 ,MICROLUT 30mcg Tablets,,84, SCHE,,2P,   ____,18.15,36.30
472212 ,MINO TABS 50mg Tablets,,60, PROP,,50,   ____,13.25,11.04
2364433 ,MODURETIC  Tablets,,50, ASPN,,20,   ____,5.50,2.20
2377241 ,ORA-SWEET  Suspension,,473, MIWE,,1P,   ____,35.75,35.75
767476 ,OVESTIN 2mg Tablets,,30, PHAC,,3P,   ____,7.70,23.10
2452731 ,OXYCODONE BNM 80mg CR Tablets,,20, BNMG,,6,   ____,37.40,11.22
2452715 ,OXYCODONE BNM 20mg CR Tablets,,20, BNMG,,51,   ____,12.65,32.26
2194767 ,OXYCONTIN 5mg CR Tablets,,20, PHAC,,2P,   ____,8.26,16.52
2179776 ,OXYNORM 20mg Capsules,,20, PHAC,,18,   ____,7.52,6.77
433748 ,PENICILLIN G SODIUM 600mg Inj,,10, NOVA,,5,   ____,11.38,5.69
