5 Jul 2017 11:41am    Page 1
Unichem Rosedale Pharmacy

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: ALBANY Disp; Stocked; Not used in last 360 days; Hospital meds: Include;
Total Value: $670.21

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
793086 ,APO-BROMOCRIPTINE 2.5mg Tablets,,100, APOT,,67,   ____,35.29,23.64
2385503 ,APO-CLARITHROMYCIN 250mg Tablets,,14, APOT,,7,   ____,4.38,2.19
2486172 ,APO-MIRTAZAPINE 45mg Tablets,,30, APOT,,1P,   ____,3.58,3.58
2384590 ,AVIGRA 25mg Tablets,,4, PFIZ,,1P,   ____,21.40,21.40
2384604 ,AVIGRA 50mg Tablets,,4, PFIZ,,2,   ____,21.40,10.70
210110 ,BETNOVATE  Lotion,,50, GLSK,,1P,   ____,11.05,11.05
474223 ,BEZALIP 200mg Tablets,,90, ROPR,,1P,   ____,9.96,9.96
510599 ,CATAPRES TTS 1 0.1mg Patches,,4, BOEH,,18,   ____,14.08,63.36
2521172 ,CELECOXIB 200mg Capsules,,30, PFIZ,,5P,   ____,2.53,12.65
796832 ,COUMADIN 5mg Tablets,,50, RECK,,1P,   ____,6.52,6.52
796824 ,COUMADIN 1mg Tablets,,50, RECK,,30,   ____,3.81,2.29
249068 ,DAIVONEX 50mcg/g Cream,exter,30, CSLN,,1P,   ____,17.60,17.60
210889 ,DIPROSONE 0.05% Ointment,,15, SCHG,,2P,   ____,3.26,6.52
210870 ,DIPROSONE 0.05% Cream,exter,50, SCHG,,1P,   ____,9.87,9.87
270385 ,DULCOLAX 10mg Supp.,,6, BOEH,,8,   ____,3.30,4.40
264318 ,ETHINYLOESTRADIOL 10mcg PABYRN Tablets,,100, NEWM,,20,   ____,19.36,3.87
2470721 ,EZEMIBE 10mg blister Tablets,,30, MYLN,,1P,   ____,3.69,3.69
2219476 ,FERRO F-TAB 310mg+350mcg Tablets,,60, AFTP,,90,   ____,5.22,7.83
2190958 ,FERRO GRAD FOLIC LA 325mg+350mcg Tablets,,30, ABBO,,1P,   ____,4.72,4.72
2272636 ,IBIAMOX 1g Vials,,10, DOUG,,5,   ____,19.02,9.51
2123487 ,ISOTANE 10 10mg Capsules,,100, MYLN,,20,   ____,13.72,2.74
777579 ,LIGNOCAINE 2% Gel,exter,20, ORIB,,1P,   ____,10.36,10.36
733393 ,LITHIUM CARBONATE 250mg Capsules,,100, DOUG,,42,   ____,10.36,4.35
472735 ,LOSEC 10mg Capsules,,30, ASZE,,4P,   ____,7.44,29.76
2347806 ,LOXALATE 20mg Tablets,,28, MYLN,,13,   ____,6.62,3.07
207373 ,MAXIDEX 0.1% Eye oint.,eye,3.5, ALCO,,1P,   ____,6.45,6.45
269689 ,NITRADOS 5mg Tablets,,100, DOUG,,65,   ____,5.74,3.73
2452723 ,OXYCODONE BNM 40mg CR Tablets,,20, BNMG,,1P,   ____,20.35,20.35
2388057 ,OZOLE 50mg Capsules,,28, DOUG,,14,   ____,3.84,1.92
2272032 ,PANTOPRAZOLE DR REDDY'S 20mg EC Tablets,,28, RDDY,,66,   ____,0.83,1.96
2427117 ,PARAFAST 500mg Caplets,,1000, ACTA,,1,   ____,9.32,0.01
2350084 ,PARAFFIN Home Essentials Liquid,,200, APIC,,100,   ____,4.98,2.49
221783 ,PETROLEUM JELLY  Soft white,,500, PSM,,1P,   ____,9.56,9.56
2316463 ,PIZACCORD 30mg Tablets,,28, DOUG,,18,   ____,1.73,1.11
2427478 ,PREMARIN 300mcg Tablets,,28, PFIZ,,4P,   ____,12.62,50.48
750255 ,PYTAZEN 150mg SR Tablets,,60, DOUG,,90,   ____,12.67,19.00
2227371 ,RUBIFEN 5mg Tablets,,30, AFTP,,2P,   ____,3.52,7.04
355488 ,SEROQUEL 25mg Tablets,,60, ASZE,,1P,   ____,7.70,7.70
2471116 ,SODIUM CHLORIDE FOR INJ. 20ml Amps,,30, INNZ,,1P,   ____,8.25,8.25
953172 ,TAMIFLU 75mg Capsules,,10, ROPR,,1P,   ____,44.72,44.72
204374 ,TIMOPTOL XE 0.5% Gel Eye drops,eye,2.5, MERC,,2P,   ____,4.16,8.32
2145855 ,TRIETHANOLAMINE LS  Emulsion,,500, MIWE,,162,   ____,35.50,11.50
2492784 ,UROFEM 1000mg Tablets,,50, TBIO,,2P,   ____,23.80,47.60
2095467 ,VERPAMIL 120mg SR Tablets,,250, MYLN,,1P,   ____,16.72,16.72
263486 ,VOLTAREN 75mg/3ml Amps,,5, NOVA,,2,   ____,14.52,5.81
208876 ,ZARONTIN 250mg Capsules,,200, PFIZ,,3P,   ____,36.19,108.57
2439875 ,ZYPINE 10mg Tablets,,28, MYLN,,20,   ____,1.81,1.29
