1 Jul 2017 3:18pm    Page 1
Unichem Silverdale Pharmacy

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Unichem Disp; Stocked; Not used in last 120 days; Not purchased for 30 days; Include hidden; Hospital meds: Include;
Total Value: $3861.90

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2490250 ,ABILIFY 5mg Tablets,,30, BRIS,,23,   ____,135.89,104.18
2226987 ,ABILIFY 20mg Tablets,,30, BRIS,,1P,   ____,234.76,234.76
2425599 ,ADENURIC 120mg Tablets,,28, TBIO,,1P,   ____,43.45,43.45
603341 ,ADRENALINE 1:1000 1ml Amps,,5, HOSP,,3,   ____,5.78,3.47
200190 ,ALBUSTIX  Strips,,100, SMEN,,1,   ____,15.31,0.15
524492 ,ANTABUSE 200mg Tablets,,100, CSLN,,40,   ____,48.73,19.49
348554 ,ANTEN 25mg Capsules,,100, MYLN,,5,   ____,7.55,0.38
2385503 ,APO-CLARITHROMYCIN 250mg Tablets,,14, APOT,,1P,   ____,4.38,4.38
2443074 ,APO-ROPINIROLE 0.25mg Tablets,,100, APOT,,56,   ____,3.06,1.71
2072254 ,AQUEOUS BP Cream,,500, AFTP,,381,   ____,2.16,1.65
2154315 ,ASTHALIN 2.5mg/2.5ml Cipules,,20, REXM,,1P,   ____,3.51,3.51
250120 ,ATIVAN 2.5mg Tablets,,100, ASPN,,80,   ____,15.27,12.22
2354837 ,BD 12.7mm 29G MF Pen,,100, EBOS,,2P,   ____,11.55,23.10
2326159 ,BECLAZONE 50mcg CFC free Inhaler,,200, AIRF,,1P,   ____,9.39,9.39
512877 ,BETA Scalp Application,,100, MYLN,,2P,   ____,8.52,17.04
527858 ,BETALOC 95mg CR Tablets,,30, ASZE,,8,   ____,8.25,2.20
2387743 ,BICALACCORD 50mg Tablets,,28, ACTA,,43,   ____,5.39,8.28
303518 ,BREVINOR 21  Tablets,,63, PHAU,,2P,   ____,7.28,14.56
2332817 ,CEFALEXIN SANDOZ 125mg/5ml Susp.,,100, NOVA,,1P,   ____,8.80,8.80
286664 ,CHLOROFORM BP Liquid,,500, PSM,,1P,   ____,28.05,28.05
405663 ,CHLORVESCENT Blackcurrant Eff. Tablets,,60, ANSP,,3P,   ____,13.03,39.09
2048841 ,CILICAINE VK 250 250mg Capsules,,50, PROP,,120,   ____,3.17,7.61
416991 ,CLEXANE 60mg/0.6ml Syringe,,10, SANS,,6,   ____,68.40,41.04
2473119 ,CLOBETASOL BNM 0.05% Cream,,30, BNMG,,20,   ____,3.52,2.35
2473127 ,CLOBETASOL BNM 0.05% Ointment,,30, BNMG,,20,   ____,3.52,2.35
701610 ,CONDYLINE  Solution,,3.5, CSLN,,1P,   ____,36.96,36.96
283622 ,CORDARONE X 200mg Tablets,,30, SANS,,1P,   ____,8.39,8.39
397083 ,CORDARONE X 100mg Tablets,,30, SANS,,42,   ____,5.13,7.18
767204 ,COUMADIN 2mg Tablets,,50, RECK,,166,   ____,4.74,15.74
796824 ,COUMADIN 1mg Tablets,,50, RECK,,106,   ____,3.81,8.08
796832 ,COUMADIN 5mg Tablets,,50, RECK,,160,   ____,6.52,20.86
788201 ,DAIVONEX 50mcg/g Ointment,,100, CSLN,,1P,   ____,49.50,49.50
2212226 ,DAPSONE 25mg Tablets,,100, LINK,,1P,   ____,104.50,104.50
2164795 ,DIAMOX 250mg Tablets,,100, ASPN,,4,   ____,18.73,0.75
210897 ,DIPROSONE 0.05% Ointment,,50, SCHG,,3P,   ____,9.87,29.61
210889 ,DIPROSONE 0.05% Ointment,,15, SCHG,,1P,   ____,3.26,3.26
218383 ,ELOCON 0.1% Ointment,,15, MERC,,16.5,   ____,1.66,1.83
657697 ,EMLA 5%5x5g+dressngs Cream,,5, ASPN,,4,   ____,49.50,39.60
2504324 ,ENSURE Choc Powder,,850, ABBO,,6P,   ____,28.60,171.60
258601 ,ESTROFEM 1mg Tablets,,28, NOVO,,3P,   ____,12.21,36.63
2446111 ,ETHICS ENALAPRIL 5mg Tablets,,100, MULT,,10,   ____,1.06,0.11
2446138 ,ETHICS ENALAPRIL 10mg Tablets,,100, MULT,,1P,   ____,1.36,1.36
2341999 ,ETIDRONATE ARROW 200mg Tablets,,100, ACTA,,73,   ____,14.85,10.84
2479559 ,EVERET 750mg Tablets,,60, REXM,,2P,   ____,49.75,99.50
2472872 ,FENTANYL SANDOZ 12.5mcg Patches,,5, NOVA,,2,   ____,3.21,1.28
2472880 ,FENTANYL SANDOZ 25mcg Patches,,5, NOVA,,6,   ____,4.03,4.84
436356 ,FERRO GRAD C  Tablets,,30, ABBO,,20,   ____,11.99,7.99
226955 ,FLEET PHOSPHO-SODA 2.4g Liquid,,45, BAXH,,1P,   ____,11.56,11.56
402974 ,FLIXOTIDE 100mcg Accuhaler,,60, GLSK,,1P,   ____,8.25,8.25
2022133 ,FOSAMAX 70mg Tablets,,4, ACTA,,14,   ____,14.19,49.66
403385 ,GLYCOPREP 6% W/W Powder,,200, PROP,,1P,   ____,14.90,14.90
