28 Jun 2017 8:24am    Page 1
Unichem LynnMall

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 180 days; Include hidden; Hospital meds: Include;
Total Value: $4082.26

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2226979 ,ABILIFY 15mg Tablets,,30, BRIS,,14,   ____,192.81,89.98
2251949 ,ACETIC ACID GLACIAL 99% Solution,,100, MIWE,,1P,   ____,10.73,10.73
797138 ,ACTRAPID 100iu/ml 3ml Penfill,,5, NOVO,,1P,   ____,46.94,46.94
2385503 ,APO-CLARITHROMYCIN 250mg Tablets,,14, APOT,,7,   ____,4.38,2.19
2025744 ,APO-DICLO 50mg EC Tablets,,500, APOT,,19,   ____,17.60,0.67
2261499 ,APO-MEGESTROL 160mg Tablets,,30, APOT,,1P,   ____,59.73,59.73
2129264 ,APO-MOCLOBEMIDE 150mg Tablets,,500, APOT,,410,   ____,93.61,76.76
407860 ,APO-NICOTINIC ACID 500mg Tablets,,100, APOT,,40,   ____,19.11,7.64
340413 ,APO-OXYBUTYNIN 5mg/5ml Syrup,,473, APOT,,23,   ____,66.44,3.23
788244 ,BD SYRINGE 1mlUF29gx12.7mm Needles,,100, EBOS,,20,   ____,14.30,2.86
2326175 ,BECLAZONE 250mcg CFC free Inhaler,,200, AIRF,,2P,   ____,24.94,49.88
210110 ,BETNOVATE  Lotion,,50, GLSK,,2P,   ____,11.05,22.10
535982 ,BETOPTIC 0.5% Eye drops,,5, ALCO,,3P,   ____,8.25,24.75
770833 ,BUSCOPAN 20mg/ml Amps,,5, SANS,,2P,   ____,10.53,21.06
2403129 ,CARESENS II 10strips+50lanc Meter Kit,,1, PHAC,,1P,   ____,22.00,22.00
2468840 ,CELOSTEA 200mg Capsules,,30, MYLN,,31,   ____,22.16,22.90
2097168 ,CETRIMIDE 40% Solution,,2000, MIWE,,400,   ____,64.02,12.80
286664 ,CHLOROFORM BP Liquid,,500, PSM,,700,   ____,28.05,39.27
483966 ,CIPRAMIL 20mg Tablets,,28, HCLO,,1P,   ____,41.44,41.44
795615 ,CLEXANE 20mg/0.2ml Syringe,,10, SANS,,5,   ____,34.00,17.00
371114 ,CLIMARA  50 50mcg/24hours Patches,,4, SCHE,,1,   ____,14.50,3.62
371122 ,CLIMARA 100 100mcg/24hours Patches,,4, SCHE,,2P,   ____,17.75,35.50
2145065 ,CONCERTA 18mg Tablets,,30, JANC,,1P,   ____,64.86,64.86
796832 ,COUMADIN 5mg Tablets,,50, RECK,,167,   ____,6.52,21.78
2125382 ,D PENAMINE 250mg Tablets,,100, MYLN,,96,   ____,121.13,116.28
2198231 ,DESMOPRESSIN PH&T 10mcg/dose Nasal Spray,,6, AFTP,,1P,   ____,25.24,25.24
394947 ,DEXAMETHASONE 1mg Tablets,,100, DOUG,,297,   ____,6.46,19.19
258628 ,DILANTIN 50mg Tablets,,200, PFIZ,,232,   ____,55.56,64.45
523836 ,DILZEM 60mg Tablets,,100, DOUG,,50,   ____,9.35,4.68
668974 ,DILZEM 30mg Tablets,,100, DOUG,,1P,   ____,5.06,5.06
201839 ,DIPROSONE 0.05% Cream,,15, SCHG,,1P,   ____,3.26,3.26
701017 ,EPILIM 200mg/5ml SF Liquid,,300, SANS,,150,   ____,22.53,11.26
2300303 ,EPREX 1000iu 0.5ml Prot Syringe,,6, JANC,,2P,   ____,53.55,107.10
209082 ,FERRUM H 100mg/2ml Amps,,5, ASPN,,6,   ____,16.74,20.09
2501619 ,GASTRODENOL 120mg Tablets,,50, LINK,,66,   ____,15.96,21.07
2130955 ,GENOX 10mg Tablets,,100, MYLN,,264,   ____,19.25,50.82
2115476 ,HANDIHALER Spiriva caps Device,,1, BOEH,,1P,   ____,3.85,3.85
2460149 ,HYDROXYBENZOATE Co Soln,,100, MIWE,,1P,   ____,33.00,33.00
274143 ,IKOREL 10mg Tablets,,60, SANS,,20,   ____,30.74,10.25
214833 ,ISMO 20 20mg Tablets,,100, ROPR,,1P,   ____,18.81,18.81
252514 ,ISOPTO CARPINE 1% Eye drops,,15, ALCO,,3P,   ____,4.69,14.07
2245515 ,LAMOTRIGINE ARROW  25 25mg Tablets,,56, ACTA,,140,   ____,22.44,56.10
2245507 ,LAMOTRIGINE ARROW  50 50mg Tablets,,56, ACTA,,44,   ____,38.17,29.99
2376466 ,LANZOL RELIEF 15mg Capsules,,28, MYLN,,210,   ____,2.20,16.50
2376474 ,LANZOL RELIEF 30mg Capsules,,28, MYLN,,320,   ____,5.24,59.89
202576 ,LARGACTIL 25mg Tablets,,100, SANS,,114,   ____,14.32,16.32
769886 ,LARIAM 250mg Tablets,,8, ROPR,,2,   ____,36.96,9.24
2401711 ,LETRACCORD 2.5mg Tablets,,30, ACTA,,20,   ____,5.33,3.55
2109220 ,LUMIGAN 0.3mg/ml Eye Drops,,3, ALLP,,1P,   ____,20.35,20.35
2445875 ,METHOTREXATE SANDOZ 25mg/1.25mL Syringe,,1, NOVA,,4P,   ____,16.49,65.96
750646 ,METHYLATED SPIRITS 70% ,,500, APIC,,1P,   ____,5.62,5.62
202827 ,MICROGYNON 50ED  Tablets,,84, SCHE,,2P,   ____,10.40,20.80
719803 ,MICROLUT 30mcg Tablets,,84, SCHE,,2P,   ____,18.15,36.30
2013908 ,MIRENA LIUS 20mcg IUD,,1, SCHE,,1P,   ____,296.45,296.45
