23 Jun 2017 11:16am    Page 1
Unichem New Lynn Pharmacy

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 180 days; Hospital meds: Include;
Total Value: $870.56

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
797138 ,ACTRAPID 100iu/ml 3ml Penfill,FR,5, NOVO,,3,   ____,46.94,28.16
524492 ,ANTABUSE 200mg Tablets,disp,100, CSLN,,31,   ____,48.73,15.11
787493 ,APO-NADOLOL 40mg Tablets,disp,100, APOT,,120,   ____,17.65,21.18
2104989 ,ARCOXIA 90mg Tablets,disp,30, MERC,,26,   ____,45.60,39.52
2224208 ,BD SYRINGE 0.5mlUFII31Gx8mm Needles,,100, EBOS,,1P,   ____,14.30,14.30
536970 ,BETADINE 10% Solution,,100, SANS,,1P,   ____,9.07,9.07
2091011 ,CALCITRIOL AFT 0.5mcg Capsules,,100, AFTP,,90,   ____,20.23,18.21
2426129 ,CHARCOAL ACTIVATED RED SEAL 300mg capsules,,45, ,,1P,   ____,4.68,4.68
2373297 ,CHLORHEXIDINE AQ HEALTHE 4% Red Wash,,500, JAYC,,1P,   ____,4.38,4.38
2318679 ,CHLORHEXIDINE HEALTHE 1% with 70% Eth Hand Rub,,500, JAYC,,1P,   ____,4.72,4.72
701610 ,CONDYLINE  Solution,,3.5, CSLN,,3P,   ____,36.96,110.88
210897 ,DIPROSONE 0.05% Ointment,disp,50, SCHG,,1P,   ____,9.87,9.87
204951 ,FLORINEF 0.1mg Tablets,disp,100, HCLO,,1P,   ____,15.75,15.75
242993 ,GUTRON 2.5mg Tablets,,100, DOUG,,101,   ____,58.30,58.88
277002 ,HYDROCORTISONE 1% Cream,disp,500, APIC,,1P,   ____,17.88,17.88
264962 ,KEMADRIN 5mg Tablets,disp,100, GLSK,,20,   ____,8.14,1.63
656453 ,LITHICARB FC 400mg Tablets,,100, MYLN,,77,   ____,14.11,10.86
2106493 ,M-ESLON 60mg SR Capsules,CD,10, MULT,,24,   ____,5.94,14.26
2331128 ,MELOREX 7.5mg Tablets,,30, DOUG,,6,   ____,12.14,2.43
765503 ,METHATABS 5mg Tablets,CD,10, PSM,,3P,   ____,2.03,6.09
697648 ,MICREME 2% Vag Cream,vag,40, MYLN,,2P,   ____,4.34,8.68
719803 ,MICROLUT 30mcg Tablets,oc,84, SCHE,,2P,   ____,18.15,36.30
2383926 ,MORPHINE LA ARROW 100mg LA bpk. Tablets,,10, ACTA,,6P,   ____,6.71,40.26
2429152 ,MULTICHEM BOTTLES with caps 185ml,,25, ,,1P,   ____,0.00,0.00
767336 ,NAPROSYN 1000mg SR Tablets,disp,90, HCLO,,100,   ____,23.10,25.67
203084 ,ONE ALPHA 0.25mcg Capsules,,100, CSLN,,40,   ____,28.95,11.58
256285 ,OX PAM 15mg Tablets,c5,100, DOUG,,117,   ____,9.38,10.97
256250 ,OX PAM 10mg Tablets,c5,100, DOUG,,102,   ____,6.79,6.93
2452715 ,OXYCODONE BNM 20mg CR Tablets,,20, BNMG,,66,   ____,12.65,41.74
2194767 ,OXYCONTIN 5mg CR Tablets,cd,20, PHAC,,4P,   ____,8.26,33.04
785768 ,PENMIX 50 50/50 3ml Cartr.,fr,5, NOVO,,7,   ____,46.93,65.70
260541 ,PRED MILD 0.12% Eye drops,drops,5, ALLP,,1P,   ____,4.95,4.95
674281 ,PULMICORT 400mcg Turbuhaler,inh,200, ASZE,,1P,   ____,35.20,35.20
2177560 ,RISPERDAL 0.5mg Quicklet Tablets,,28, JANC,,15,   ____,23.56,12.62
2227371 ,RUBIFEN 5mg Tablets,cd,30, AFTP,,1,   ____,3.52,0.12
478490 ,SINGULAIR 10mg Tablets,disp,28, MERC,,1P,   ____,20.33,20.33
254894 ,SOFRAMYCIN 0.50% Drops,drops,8, SANS,,3P,   ____,9.51,28.53
2144468 ,SPAN K 600mg Tablets,disp,200, ANSP,,208,   ____,8.16,8.49
2390663 ,TIMOLOL ARROW 0.25% Eye drops,,5, ACTA,,3P,   ____,1.60,4.80
2383160 ,TOLTERODINE ARROW 2mg Tablets,,56, ACTA,,20,   ____,16.02,5.72
2222264 ,TRAMAL 50mg SR Tablets,,20, CSLN,,70,   ____,8.10,28.35
2111977 ,TRENTAL 400mg Tablets,,50, SANS,,10,   ____,46.49,9.30
2095467 ,VERPAMIL 120mg SR Tablets,disp,250, MYLN,,229,   ____,16.72,15.32
2179911 ,VISTIL FORTE 3% Eye drops,,15, AFTP,,2P,   ____,4.05,8.10
