23 Jun 2017 7:20pm    Page 1
St Lukes Unichem Pharmacy

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: UNICHEM-DISP; Stocked; Not used in last 180 days; Hospital meds: Include;
Total Value: $1222.88

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
307904 ,ACULAR 0.5% Eye drops,drops,5, ALLP,,1P,   ____,10.49,10.49
348554 ,ANTEN 25mg Capsules,atabs,100, MYLN,,220,   ____,7.55,16.61
2289830 ,APO-CLOMIPRAMINE 25mg Tablets,ctabs,100, APOT,,136,   ____,9.55,12.99
2511789 ,APO-MONTELUKAST 10mg Tablets,mtabs,28, APOT,,1P,   ____,6.22,6.22
787493 ,APO-NADOLOL 40mg Tablets,ntabs,100, APOT,,61,   ____,17.65,10.77
2265346 ,APO-TERAZOSIN 5mg Tablets,ttabs,500, APOT,,1P,   ____,11.99,11.99
2288443 ,ASAMAX 500mg EC Tablets,atabs,100, CSLN,,2P,   ____,54.45,108.90
2091038 ,CALCITRIOL AFT 0.25mcg Capsules,ctabs,100, AFTP,,1P,   ____,10.94,10.94
2515164 ,CARESENS 30G Lancets,bgluc,100, PHAC,,4P,   ____,6.60,26.40
2425815 ,CARESENS CR2032 3-volt Battery,bgluc,1, PHAC,,12P,   ____,0.00,0.00
2318679 ,CHLORHEXIDINE HEALTHE 1% with 70% Eth Hand Rub,emeds,500, JAYC,,1P,   ____,4.72,4.72
954322 ,CREON 10000 150mg Capsules,ctabs,100, ABBO,,70,   ____,38.42,26.89
712914 ,DAPSONE 100mg Tablets,dtabs,100, LINK,,52,   ____,121.00,62.92
2434237 ,DUOLEUM WSP BP Ointment,emeds,400, ROBP,,1P,   ____,12.14,12.14
2309459 ,DUREX SELECT Non Sp. 56mm Flav. Condom,cpill,144, SSLN,,102,   ____,14.70,10.41
2490072 ,E-CHAMBER TURBO 220ml Device,puffs,1, ,,1P,   ____,3.24,3.24
2034239 ,ENDOXAN 50mg Tablets,etabs,50, BAXH,,34,   ____,86.90,59.09
