Changed database context to 'ToniqDatabase'.
Store Name,Stock Point,Brand,Generic Name,Strength,Pack Size,SOH,Pharmacode,w/s price,last sale
----------,-----------,-----,------------,--------,---------,---,----------,---------,---------
Life St. Lukes,LIFE-DISP,MEDROL,MethylPREDNISOLONE,100mg,2000,5.0000000000000003E-2,681776,19800,2015-07-26 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,SABRIL,Vigabatrin,500mg,12000,0.59999999999999998,2144697,15748,2016-05-20 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,SABRIL,Vigabatrin,500mg,10000,0.59999999999999998,2144697,14316,2016-05-20 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,SABRIL,Vigabatrin,500mg,10000,0.59999999999999998,2144697,13123,2016-05-20 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,RIFADIN,Rifampicin,300mg,10000,0.17999999999999999,251194,12787,2016-09-03 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,DAPSONE,Dapsone,100mg,10000,0.52000000000000002,712914,12100,2016-11-25 00:00:00.000
Life St. Lukes,LIFE-DISP,STRATTERA,Atomoxetine, 25mg,2800,1.5714285714285701,2181584,11773,2015-12-12 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,FOLINIC ACID,Calcium folinate,15mg,1000,4.0,701300,11469,2016-11-14 00:00:00.000
Life St. Lukes,LIFE-DISP,EMEND TRI PACK,Aprepitant,,300,1.0,2244098,11000,2016-11-04 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,PEXSIG,Perhexiline maleate,100mg,10000,0.97999999999999998,352713,6919,2016-02-14 00:00:00.000
Life St. Lukes,LIFE-DISP,Q 300,quINine sulphate,300mg,50000,5.6000000000000001E-2,393118,6810,2016-11-23 00:00:00.000
Life St. Lukes,LIFE-DISP,QUESTRAN LITE,Colestyramine resin anhydrous,4g,5000,0.14000000000000001,776262,5795,2016-06-02 00:00:00.000
Life St. Lukes,LIFE-DISP,ADRENALINE DB,Adrenaline HCL,1:1000 1ml,5000,1.0,603341,5445,2016-11-20 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,ASAMAX,Mesalazine,500mg EC,10000,2.0,2288443,5445,2014-12-17 00:00:00.000
